Longitude	Latitude	Elevation	Elevation	HCP1	PRP1	HCP2	PRP2	VpH	VEC_s	VEC_d	TWI
-75.752213	45.110743	59.83	59.83	29.48	18.82	28.20	26.06	6.05	27.82	29.99	12.07
-75.752175	45.110710	59.82	59.82	29.48	18.82	28.20	26.06	6.07	27.67	29.84	11.95
-75.752137	45.110678	59.81	59.81	29.86	19.52	28.36	26.14	6.09	27.53	29.69	11.88
-75.752097	45.110648	59.78	59.78	29.90	20.10	28.40	26.48	6.17	28.16	29.91	11.82
-75.752057	45.110618	59.76	59.76	30.06	20.10	28.58	26.48	6.17	28.08	29.76	11.79
-75.752013	45.110587	59.74	59.74	30.20	19.52	28.78	26.20	6.14	28.05	29.49	11.74
-75.751972	45.110555	59.72	59.72	30.20	18.90	29.10	26.02	6.11	28.11	29.18	11.62
-75.751933	45.110525	59.68	59.68	29.78	18.90	29.36	26.02	6.08	28.22	28.83	11.48
-75.751897	45.110495	59.64	59.64	29.78	18.90	29.80	26.02	6.06	28.30	28.44	11.39
-75.751857	45.110460	59.57	59.57	29.84	19.26	29.80	26.26	6.04	28.93	28.32	11.32
-75.751818	45.110427	59.54	59.54	30.40	19.62	30.04	26.64	6.03	28.86	28.10	11.30
-75.751782	45.110395	59.52	59.52	30.96	19.62	30.64	26.76	6.01	28.69	28.07	11.30
-75.751742	45.110367	59.52	59.52	31.20	19.86	30.72	26.76	6.00	28.48	28.17	11.32
-75.751703	45.110338	59.52	59.52	31.42	20.18	30.72	27.16	5.99	28.21	28.32	11.38
-75.751665	45.110308	59.52	59.52	31.48	20.30	30.90	27.26	5.98	27.97	28.44	11.42
-75.751627	45.110278	59.51	59.51	31.48	20.86	30.94	28.06	5.97	27.77	28.45	11.45
-75.751590	45.110247	59.49	59.49	31.84	20.86	31.16	28.08	5.96	27.57	28.39	11.38
-75.751550	45.110217	59.46	59.46	31.84	20.86	31.16	28.08	5.96	27.71	28.66	11.10
-75.751510	45.110188	59.46	59.46	31.68	20.58	31.06	27.64	5.95	27.39	28.40	11.02
-75.751473	45.110158	59.47	59.47	31.68	20.58	31.06	27.64	5.94	26.93	28.14	11.03
-75.751432	45.110128	59.46	59.46	31.72	20.52	31.18	27.86	5.93	26.40	27.93	11.01
-75.751392	45.110097	59.45	59.45	31.74	20.30	31.58	27.92	5.92	25.84	27.80	10.94
-75.751353	45.110070	59.43	59.43	31.74	20.30	31.58	28.02	5.90	24.77	27.32	10.87
-75.751315	45.110038	59.39	59.39	31.74	20.30	31.58	28.02	5.92	24.93	27.52	10.85
-75.751277	45.110002	59.33	59.33	31.48	19.84	31.44	27.72	5.95	24.69	27.23	10.95
-75.751242	45.109972	59.30	59.30	31.38	19.42	31.42	27.48	5.97	24.37	26.90	11.04
-75.751203	45.109938	59.28	59.28	30.96	19.30	31.38	27.32	5.99	24.11	26.58	11.15
-75.751168	45.109907	59.27	59.27	30.96	19.30	31.04	27.28	6.01	23.92	26.38	11.25
-75.751127	45.109873	59.25	59.25	31.18	19.30	31.04	27.32	6.04	23.76	26.32	11.33
-75.751088	45.109843	59.21	59.21	31.60	19.48	31.44	27.92	6.10	23.65	26.48	11.44
-75.751047	45.109812	59.19	59.19	31.86	19.92	31.54	28.00	6.10	23.43	26.67	11.45
-75.751008	45.109782	59.15	59.15	32.30	20.20	31.92	28.46	6.10	23.21	26.66	11.46
-75.750977	45.109748	59.12	59.12	33.14	20.84	32.22	29.12	6.09	23.01	26.42	11.48
-75.750938	45.109715	59.08	59.08	33.40	21.00	32.66	29.64	6.09	22.92	26.25	11.47
-75.750902	45.109683	59.01	59.01	33.44	21.20	32.66	29.86	6.10	22.85	26.45	11.58
-75.750862	45.109653	58.98	58.98	33.44	21.20	32.66	29.86	6.11	22.91	26.91	11.63
-75.750822	45.109623	58.95	58.95	33.84	21.40	33.00	30.10	6.11	22.93	27.19	11.66
-75.750782	45.109590	58.92	58.92	34.42	21.54	33.60	30.58	6.12	22.91	27.32	11.70
-75.750747	45.109557	58.89	58.89	34.42	21.86	33.62	30.92	6.12	23.09	27.63	11.78
-75.750708	45.109522	58.85	58.85	34.76	22.46	33.62	31.00	6.13	23.49	28.69	11.92
-75.750670	45.109488	58.84	58.84	35.18	22.62	33.62	31.58	6.11	24.29	30.01	11.99
-75.750630	45.109455	58.81	58.81	35.18	22.62	33.74	31.58	6.10	25.14	31.06	12.04
-75.750595	45.109425	58.78	58.78	35.00	22.04	33.74	30.92	6.09	26.00	32.07	12.09
-75.750558	45.109395	58.74	58.74	34.52	22.04	33.72	30.92	6.08	26.84	32.96	12.15
-75.750520	45.109367	58.71	58.71	34.52	22.14	33.52	30.86	6.07	27.65	33.69	12.21
-75.750480	45.109333	58.67	58.67	34.52	22.14	33.52	30.98	6.07	28.28	33.97	12.31
-75.750437	45.109300	58.64	58.64	34.50	21.92	33.88	30.70	6.06	29.03	34.40	12.36
-75.750400	45.109270	58.62	58.62	34.70	21.92	33.96	30.58	6.05	29.80	34.85	12.42
-75.750358	45.109237	58.60	58.60	34.84	21.96	34.30	30.58	6.05	30.58	35.37	12.47
-75.750318	45.109203	58.58	58.58	35.14	22.54	34.40	31.16	6.05	31.22	35.89	12.51
-75.750273	45.109172	58.57	58.57	35.20	22.62	34.52	31.20	6.05	32.24	37.40	12.58
-75.750233	45.109142	58.56	58.56	35.86	23.18	34.60	31.84	6.05	32.57	38.59	12.60
-75.750193	45.109112	58.56	58.56	36.38	24.66	34.80	32.80	6.05	32.64	39.80	12.83
-75.750152	45.109080	58.55	58.55	36.74	24.66	34.80	32.80	6.05	32.50	40.86	12.84
-75.750108	45.109048	58.55	58.55	36.38	24.42	34.80	32.60	6.05	32.06	41.26	12.93
-75.750063	45.109015	58.53	58.53	36.16	24.22	34.52	32.22	6.05	31.45	40.61	12.96
-75.750023	45.108983	58.51	58.51	36.02	23.44	34.52	31.72	6.03	30.19	37.08	12.95
-75.749987	45.108952	58.50	58.50	36.10	23.44	34.90	31.94	6.01	29.99	36.18	12.97
-75.749945	45.108922	58.47	58.47	36.10	23.44	34.90	31.94	5.99	30.03	35.79	12.89
-75.749910	45.108888	58.43	58.43	36.22	24.48	34.90	32.44	5.96	30.18	35.85	12.84
-75.749872	45.108858	58.39	58.39	37.26	25.54	35.24	33.68	5.94	30.49	36.38	12.84
-75.749835	45.108828	58.35	58.35	38.26	26.32	35.24	34.62	5.92	30.86	37.25	12.92
-75.749797	45.108797	58.33	58.33	38.26	26.58	35.34	34.62	5.90	31.33	38.28	13.00
