1	67	469	1	9	21	-97.9885449	41.2757914	1.49854556	1.49854556	0.555545556	10.9555456
2	43	834	3	6	37	-97.9847267	41.2752515	0.557906667	0.557906667	0.883323333	19.3916567
3	13	885	1	11	39	-97.9842494	41.2761513	0.609444545	0.609444545	1.56362636	19.0090809
4	37	124	2	9	6	-97.9921245	41.2757914	2.73256143	2.73256143	0.464275714	9.15713286
5	36	329	2	7	15	-97.9899768	41.2754315	1.37508091	1.37508091	1.08180818	17.2363536
6	35	502	3	19	22	-97.9883063	41.2775909	2.18587889	2.18587889	0.288878889	7.72221222
7	41	794	2	12	35	-97.985204	41.2763312	0.91949	0.91949	0.87499	10.46249
8	24	680	2	13	30	-97.9863972	41.2765112	1.147115	1.147115	1.06249	15.03749
9	27	696	1	6	31	-97.9861585	41.2752515	0.94129	0.94129	0.68999	11.93999
10	46	191	2	7	9	-97.9914086	41.2754315	2.18999	2.18999	0.688878889	11.1333233
11	22	211	2	4	10	-97.99117	41.2748916	1.66435364	1.66435364	0.863626364	17.0363536
12	22	649	1	5	29	-97.9866358	41.2750716	1.21965667	1.21965667	0.533323333	7.72221222
13	11	519	1	13	23	-97.9880677	41.2765112	1.36887889	1.36887889	0.688878889	14.9111011
14	24	585	2	10	26	-97.9873517	41.2759713	1.23521222	1.23521222	0.59999	12.7666567
15	17	341	2	19	15	-97.9899768	41.2775909	1.53822077	1.53822077	0.492297692	12.9230669
16	36	640	2	19	28	-97.9868745	41.2775909	1.59599	1.59599	0.483323333	9.11665667
17	19	556	2	4	25	-97.9875904	41.2748916	1.59289	1.59289	0.48999	7.46999
18	13	407	1	16	18	-97.9892609	41.277051	1.40365667	1.40365667	0.455545556	7.99999
19	18	426	1	12	19	-97.9890222	41.2763312	1.37429769	1.37429769	0.423066923	10.1538362
20	18	442	1	5	20	-97.9887836	41.2750716	1.65389	1.65389	0.54999	9.93999
21	29	268	2	15	12	-97.9906927	41.2768711	1.70065667	1.70065667	0.322212222	9.45554556
