Longitude	Latitude	Elevation	Elevation	ShallowEC	DeepEC
-97.98848	41.274551	517.396	517.396	0.6	4.3
-97.988541	41.274551	517.409	517.409	0.6	3.9
-97.988602	41.274551	517.425	517.425	0.5	3.4
-97.988655	41.274551	517.406	517.406	0.5	3.7
-97.988724	41.274551	517.371	517.371	0.6	4.7
-97.988785	41.274551	517.359	517.359	0.7	7.4
-97.988846	41.274551	517.36	517.36	0.7	6.9
-97.988907	41.274551	517.368	517.368	0.7	7.6
-97.988968	41.274551	517.372	517.372	0.8	8.2
-97.989029	41.274555	517.377	517.377	0.8	7.3
-97.98909	41.274559	517.36	517.36	0.8	7.2
-97.989159	41.274559	517.308	517.308	0.9	7
-97.989212	41.274559	517.257	517.257	0.8	8
-97.989273	41.274559	517.216	517.216	0.7	7.5
-97.989334	41.274559	517.189	517.189	0.7	7.9
-97.989403	41.274559	517.18	517.18	0.7	10.3
-97.989456	41.274559	517.161	517.161	0.8	10
-97.989517	41.274559	517.136	517.136	0.8	8.6
-97.989578	41.274559	517.131	517.131	0.8	7.5
-97.989639	41.274559	517.103	517.103	0.7	9.9
-97.9897	41.274559	516.982	516.982	0.7	9.1
-97.989754	41.274559	516.812	516.812	0.7	18.6
-97.989807	41.274559	516.776	516.776	1	18.2
-97.989868	41.274559	516.901	516.901	1.1	13.8
-97.989914	41.274559	517.038	517.038	1.1	12
-97.989967	41.274567	517.134	517.134	0.8	11
-97.990021	41.27457	517.206	517.206	0.9	9.8
-97.990082	41.27457	517.254	517.254	1.1	11.1
-97.990128	41.27457	517.266	517.266	1	10.7
-97.990189	41.27457	517.256	517.256	0.9	9.7
-97.99025	41.27457	517.269	517.269	0.8	12.7
-97.990311	41.274567	517.302	517.302	0.7	11.4
-97.990364	41.274559	517.318	517.318	0.7	11.2
-97.990433	41.274559	517.33	517.33	0.8	6.1
-97.990494	41.274559	517.344	517.344	0.7	6.1
-97.990555	41.274559	517.353	517.353	0.7	7
-97.990623	41.274567	517.359	517.359	0.8	6.3
-97.990692	41.27457	517.359	517.359	0.9	9.5
-97.990753	41.27457	517.367	517.367	0.8	8.4
-97.990822	41.27457	517.372	517.372	0.7	7.4
-97.990891	41.27457	517.372	517.372	0.6	8.1
-97.990952	41.27457	517.371	517.371	0.6	6.1
-97.991013	41.27457	517.379	517.379	0.8	6
-97.991081	41.27457	517.415	517.415	0.7	11.6
-97.99115	41.27457	517.448	517.448	0.7	9.3
-97.991203	41.27457	517.445	517.445	0.7	8.8
-97.991257	41.27457	517.438	517.438	0.8	9.9
-97.991325	41.27457	517.443	517.443	0.7	11.2
-97.991379	41.27457	517.44	517.44	0.7	13.2
-97.991432	41.27457	517.428	517.428	0.6	13.8
-97.991486	41.27457	517.425	517.425	0.6	16.6
-97.991547	41.27457	517.418	517.418	0.6	13.9
-97.991592	41.27457	517.424	517.424	0.7	14.5
